"No.","Time","Source","Destination","Protocol","Length","Info"
"21095","35.594079","192.168.2.212","184.150.37.140","UDP","77","59814  >  443 Len=35"
"21096","35.595475","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21097","35.595475","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21098","35.595475","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21099","35.595956","192.168.2.212","184.150.37.140","UDP","77","59814  >  443 Len=35"
"21100","35.596649","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21101","35.596649","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21102","35.596649","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21103","35.597222","192.168.2.212","184.150.37.140","UDP","77","59814  >  443 Len=35"
"21104","35.598368","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21105","35.598368","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21106","35.598368","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21107","35.599576","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21108","35.599576","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21109","35.600009","192.168.2.212","184.150.37.140","UDP","77","59814  >  443 Len=35"
"21110","35.601781","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21111","35.601781","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21112","35.601781","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21113","35.602320","192.168.2.212","184.150.37.140","UDP","77","59814  >  443 Len=35"
"21114","35.606485","192.168.2.212","184.150.37.140","UDP","78","59814  >  443 Len=36"
"21115","35.609618","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21116","35.609618","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21117","35.609618","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21118","35.609618","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21119","35.609618","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21120","35.609618","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21121","35.609618","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21122","35.609618","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21123","35.609618","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21124","35.609618","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21125","35.612970","192.168.2.212","184.150.37.140","UDP","76","59814  >  443 Len=34"
"21126","35.613082","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21127","35.613082","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21128","35.613082","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21129","35.613082","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21130","35.613082","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21131","35.613082","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21132","35.613082","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21133","35.613082","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21134","35.613082","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21135","35.613082","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21136","35.613650","192.168.2.212","184.150.37.140","UDP","76","59814  >  443 Len=34"
"21137","35.613700","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21138","35.613700","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21139","35.614288","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21140","35.614288","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21141","35.614880","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21142","35.614880","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21143","35.615155","192.168.2.212","184.150.37.140","UDP","76","59814  >  443 Len=34"
"21144","35.615652","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21145","35.615652","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21146","35.617472","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21147","35.617472","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21148","35.617472","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21149","35.617747","192.168.2.212","184.150.37.140","UDP","76","59814  >  443 Len=34"
"21150","35.618590","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21151","35.618590","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21152","35.618938","192.168.2.212","184.150.37.140","UDP","76","59814  >  443 Len=34"
"21153","35.620077","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21154","35.620077","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21155","35.620077","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
"21156","35.620597","192.168.2.212","184.150.37.140","UDP","76","59814  >  443 Len=34"
"21157","35.622414","184.150.37.140","192.168.2.212","UDP","1292","443  >  59814 Len=1250"
