"No.","Time","Source","Destination","Protocol","Length","Info"
"23079","36.540281","192.168.2.20","184.150.37.140","UDP","77","59673  >  443 Len=35"
"23080","36.542378","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23081","36.542378","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23082","36.542378","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23083","36.542378","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23084","36.542557","192.168.2.20","184.150.37.140","UDP","77","59673  >  443 Len=35"
"23085","36.543266","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23086","36.543266","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23087","36.543266","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23088","36.543587","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23089","36.543587","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23090","36.543587","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23091","36.543587","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23092","36.543587","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23093","36.543695","192.168.2.20","184.150.37.140","UDP","77","59673  >  443 Len=35"
"23094","36.545043","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23095","36.545043","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23096","36.545043","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23097","36.545043","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23098","36.545149","192.168.2.20","184.150.37.140","UDP","77","59673  >  443 Len=35"
"23099","36.546649","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23100","36.546649","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23101","36.546649","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23102","36.546649","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23103","36.546788","192.168.2.20","184.150.37.140","UDP","77","59673  >  443 Len=35"
"23104","36.547655","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23105","36.547655","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23106","36.547655","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23107","36.547655","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23108","36.547894","192.168.2.20","184.150.37.140","UDP","77","59673  >  443 Len=35"
"23109","36.548009","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23110","36.548009","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23111","36.548009","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23112","36.548009","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23113","36.549480","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23114","36.549480","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
"23115","36.549480","184.150.37.140","192.168.2.20","UDP","1292","443  >  59673 Len=1250"
